BRANDS SOLD,PRODUCT TYPES/ CATEGORIES,RETAILER TYPE,RETAILER_ID,RETAILER NAME,LOCATION NAME,ADDRESS,LAND MARK,CITY,DISTRICT,STATE/PROVINCE,ZIP/POSTAL CODE,COUNTRY,CONTACT PHONE,CONTACT PERSON,STORE SIZE,GEO COORDINATES,TIER LEVEL OF GOODS SOLD,URL,NUMBER OF STORES/BRANCHIES IN THE CHAIN,HQ ADDRESS,HOLDING COMPANY NAME,HOLDING COMPANY ADDRESS,HOLDINGS CONTACT,URL (HOLDING COMAPANY),MANUFACTURER / FACTORY,MANUFACTURER ADDRESS,MANUFACTURER CONTACT
,TV,Consumer Electronics,,ADITYA VISION,ANISABAD BYPASS CHOURAHA,"ANISABAD BYPASS CHOURAHA, MAIN ROAD, PATNA  800002",,Patna (पटना),,,800002,India,0612-2253392,,,,,https://adityavision.in/store-network/,,,,,,,,,
,TV,Consumer Electronics,,ADITYA VISION,KHAJPURA,"KHAJPURA,OPPOSITE SHIV MANDIR, BAILEY ROAD, PATNA 800014",,Patna (पटना),,,800014,India,7061380834,,,,,https://adityavision.in/store-network/,,,,,,,,,
,TV,Consumer Electronics,,ADITYA VISION,KULHARIA COMPLEX,"KULHARIA COMPLEX, ASHOK RAJPATH, PATNA  800004",,Patna (पटना),,,800004,India,0612-2677790,,,,,https://adityavision.in/store-network/,,,,,,,,,
,TV,Consumer Electronics,,ADITYA VISION,SHANTI KUNJ,"SHANTI KUNJ, WEST BORING CANAL RD., P.S- S.K PURI, PATNA 800001",,Patna (पटना),,,800001,India,7061380845,,,,,https://adityavision.in/store-network/,,,,,,,,,
,TV,Consumer Electronics,,ADITYA VISION,JAKARIYAPUR,"JAKARIYAPUR, ZERO MILE, BYPASS 800007",,Patna (पटना),,,800007,India,7061380844,,,,,https://adityavision.in/store-network/,,,,,,,,,
,TV,Consumer Electronics,,ADITYA VISION,Gurhatta Main Road,"Gurhatta Main Road,Patna City 800008",,Patna (पटना),,,800008,India,0612-2641979,,,,,https://adityavision.in/store-network/,,,,,,,,,
,TV,Consumer Electronics,,ADITYA VISION,OPPOSITE PLANETARIUM,"OPPOSITE PLANETARIUM, BAILEY ROAD, PATNA 800001",,Patna (पटना),,,800001,India,0612-2232726,,,,,https://adityavision.in/store-network/,,,,,,,,,
,TV,Consumer Electronics,,ADITYA VISION,Samsung Digital Plaza ,"Samsung Digital Plaza ,Near Siv Mandir , Raja Bazar 800008",,Patna (पटना),,,800008,India,0612-2599885,,,,,https://adityavision.in/store-network/,,,,,,,,,
,TV,Consumer Electronics,,ADITYA VISION,Sony Center ,"Sony Center ,P.C.Colony Kankarbagh Patna 800020",,Patna (पटना),,,800020,India,0612-2359988,,,,,https://adityavision.in/store-network/,,,,,,,,,
,TV,Consumer Electronics,,ADITYA VISION,LG Best Shop ,"LG Best Shop ,Near Ashiyana Mor , Raja Bazar 800008",,Patna (पटना),,,800008,India,0612-2295663,,,,,https://adityavision.in/store-network/,,,,,,,,,
,TV,Consumer Electronics,,ADITYA VISION,SagunaMore,"SagunaMore,Near IBP Petrol Pump ,Danapur ,Patna 801503",,Patna (पटना),,,801503,India,9264455253,,,,,https://adityavision.in/store-network/,,,,,,,,,
,TV,Consumer Electronics,,ADITYA VISION,ANISABAD BYPASS CHOURAHA,"ANISABAD BYPASS CHOURAHA, MAIN ROAD, PATNA 800002",,Patna (पटना),,,800002,India,9264455114,,,,,https://adityavision.in/store-network/,,,,,,,,,
,TV,Consumer Electronics,,ADITYA VISION,OPPOSITE PLANETARIUM,"OPPOSITE PLANETARIUM, BAILEY ROAD, PATNA  800001",,Patna (पटना),,,800001,India,0612-2205984,,,,,https://adityavision.in/store-network/,,,,,,,,,
,TV,Consumer Electronics,,ADITYA VISION,YUVRAJ PLACE,"YUVRAJ PLACE,NEAR GAYATRI MANDIR MORE, KANKARBAGH, PATNA 800020",,Patna (पटना),,,800020,India,0612-2357714,,,,,https://adityavision.in/store-network/,,,,,,,,,
,TV,Consumer Electronics,,ADITYA VISION,ANISABAD BYPASS CHOURAHA,"ANISABAD BYPASS CHOURAHA, MAIN ROAD, PATNA  800002",,Patna (पटना),,,800002,India,0612-2253392,,,,,https://adityavision.in/store-network/,,,,,,,,,
,TV,Consumer Electronics,,ADITYA VISION,KHAJPURA,"KHAJPURA,OPPOSITE SHIV MANDIR, BAILEY ROAD, PATNA 800014",,Patna (पटना),,,800014,India,7061380834,,,,,https://adityavision.in/store-network/,,,,,,,,,
,TV,Consumer Electronics,,ADITYA VISION,KULHARIA COMPLEX,"KULHARIA COMPLEX, ASHOK RAJPATH, PATNA  800004",,Patna (पटना),,,800004,India,0612-2677790,,,,,https://adityavision.in/store-network/,,,,,,,,,
,TV,Consumer Electronics,,ADITYA VISION,SHANTI KUNJ,"SHANTI KUNJ, WEST BORING CANAL RD., P.S- S.K PURI, PATNA 800001",,Patna (पटना),,,800001,India,7061380845,,,,,https://adityavision.in/store-network/,,,,,,,,,
,TV,Consumer Electronics,,ADITYA VISION,JAKARIYAPUR,"JAKARIYAPUR, ZERO MILE, BYPASS 800007",,Patna (पटना),,,800007,India,7061380844,,,,,https://adityavision.in/store-network/,,,,,,,,,
,TV,Consumer Electronics,,ADITYA VISION,Gurhatta Main Road,"Gurhatta Main Road,Patna City 800008",,Patna (पटना),,,800008,India,0612-2641979,,,,,https://adityavision.in/store-network/,,,,,,,,,
,TV,Consumer Electronics,,ADITYA VISION,OPPOSITE PLANETARIUM,"OPPOSITE PLANETARIUM, BAILEY ROAD, PATNA 800001",,Patna (पटना),,,800001,India,0612-2232726,,,,,https://adityavision.in/store-network/,,,,,,,,,
,TV,Consumer Electronics,,ADITYA VISION,Samsung Digital Plaza ,"Samsung Digital Plaza ,Near Siv Mandir , Raja Bazar 800008",,Patna (पटना),,,800008,India,0612-2599885,,,,,https://adityavision.in/store-network/,,,,,,,,,
,TV,Consumer Electronics,,ADITYA VISION,Sony Center ,"Sony Center ,P.C.Colony Kankarbagh Patna 800020",,Patna (पटना),,,800020,India,0612-2359988,,,,,https://adityavision.in/store-network/,,,,,,,,,
,TV,Consumer Electronics,,ADITYA VISION,LG Best Shop ,"LG Best Shop ,Near Ashiyana Mor , Raja Bazar 800008",,Patna (पटना),,,800008,India,0612-2295663,,,,,https://adityavision.in/store-network/,,,,,,,,,
,TV,Consumer Electronics,,ADITYA VISION,SagunaMore,"SagunaMore,Near IBP Petrol Pump ,Danapur ,Patna 801503",,Patna (पटना),,,801503,India,9264455253,,,,,https://adityavision.in/store-network/,,,,,,,,,
,TV,Consumer Electronics,,ADITYA VISION,ANISABAD BYPASS CHOURAHA,"ANISABAD BYPASS CHOURAHA, MAIN ROAD, PATNA 800002",,Patna (पटना),,,800002,India,9264455114,,,,,https://adityavision.in/store-network/,,,,,,,,,
,TV,Consumer Electronics,,ADITYA VISION,OPPOSITE PLANETARIUM,"OPPOSITE PLANETARIUM, BAILEY ROAD, PATNA  800001",,Patna (पटना),,,800001,India,0612-2205984,,,,,https://adityavision.in/store-network/,,,,,,,,,
,TV,Consumer Electronics,,ADITYA VISION,YUVRAJ PLACE,"YUVRAJ PLACE,NEAR GAYATRI MANDIR MORE, KANKARBAGH, PATNA 800020",,Patna (पटना),,,800020,India,0612-2357714,,,,,https://adityavision.in/store-network/,,,,,,,,,
,TV,Consumer Electronics,,ADITYA VISION,ANISABAD BYPASS CHOURAHA,"ANISABAD BYPASS CHOURAHA, MAIN ROAD, PATNA  800002",,Patna (पटना),,,800002,India,0612-2253392,,,,,https://adityavision.in/store-network/,,,,,,,,,
,TV,Consumer Electronics,,ADITYA VISION,KHAJPURA,"KHAJPURA,OPPOSITE SHIV MANDIR, BAILEY ROAD, PATNA 800014",,Patna (पटना),,,800014,India,7061380834,,,,,https://adityavision.in/store-network/,,,,,,,,,
,TV,Consumer Electronics,,ADITYA VISION,KULHARIA COMPLEX,"KULHARIA COMPLEX, ASHOK RAJPATH, PATNA  800004",,Patna (पटना),,,800004,India,0612-2677790,,,,,https://adityavision.in/store-network/,,,,,,,,,
,TV,Consumer Electronics,,ADITYA VISION,SHANTI KUNJ,"SHANTI KUNJ, WEST BORING CANAL RD., P.S- S.K PURI, PATNA 800001",,Patna (पटना),,,800001,India,7061380845,,,,,https://adityavision.in/store-network/,,,,,,,,,
,TV,Consumer Electronics,,ADITYA VISION,JAKARIYAPUR,"JAKARIYAPUR, ZERO MILE, BYPASS 800007",,Patna (पटना),,,800007,India,7061380844,,,,,https://adityavision.in/store-network/,,,,,,,,,
,TV,Consumer Electronics,,ADITYA VISION,Gurhatta Main Road,"Gurhatta Main Road,Patna City 800008",,Patna (पटना),,,800008,India,0612-2641979,,,,,https://adityavision.in/store-network/,,,,,,,,,
,TV,Consumer Electronics,,ADITYA VISION,OPPOSITE PLANETARIUM,"OPPOSITE PLANETARIUM, BAILEY ROAD, PATNA 800001",,Patna (पटना),,,800001,India,0612-2232726,,,,,https://adityavision.in/store-network/,,,,,,,,,
,TV,Consumer Electronics,,ADITYA VISION,Samsung Digital Plaza ,"Samsung Digital Plaza ,Near Siv Mandir , Raja Bazar 800008",,Patna (पटना),,,800008,India,0612-2599885,,,,,https://adityavision.in/store-network/,,,,,,,,,
,TV,Consumer Electronics,,ADITYA VISION,Sony Center ,"Sony Center ,P.C.Colony Kankarbagh Patna 800020",,Patna (पटना),,,800020,India,0612-2359988,,,,,https://adityavision.in/store-network/,,,,,,,,,
,TV,Consumer Electronics,,ADITYA VISION,LG Best Shop ,"LG Best Shop ,Near Ashiyana Mor , Raja Bazar 800008",,Patna (पटना),,,800008,India,0612-2295663,,,,,https://adityavision.in/store-network/,,,,,,,,,
,TV,Consumer Electronics,,ADITYA VISION,SagunaMore,"SagunaMore,Near IBP Petrol Pump ,Danapur ,Patna 801503",,Patna (पटना),,,801503,India,9264455253,,,,,https://adityavision.in/store-network/,,,,,,,,,
,TV,Consumer Electronics,,ADITYA VISION,ANISABAD BYPASS CHOURAHA,"ANISABAD BYPASS CHOURAHA, MAIN ROAD, PATNA 800002",,Patna (पटना),,,800002,India,9264455114,,,,,https://adityavision.in/store-network/,,,,,,,,,
,TV,Consumer Electronics,,ADITYA VISION,OPPOSITE PLANETARIUM,"OPPOSITE PLANETARIUM, BAILEY ROAD, PATNA  800001",,Patna (पटना),,,800001,India,0612-2205984,,,,,https://adityavision.in/store-network/,,,,,,,,,
,TV,Consumer Electronics,,ADITYA VISION,YUVRAJ PLACE,"YUVRAJ PLACE,NEAR GAYATRI MANDIR MORE, KANKARBAGH, PATNA 800020",,Patna (पटना),,,800020,India,0612-2357714,,,,,https://adityavision.in/store-network/,,,,,,,,,
,TV,Consumer Electronics,,ADITYA VISION,ANISABAD BYPASS CHOURAHA,"ANISABAD BYPASS CHOURAHA, MAIN ROAD, PATNA  800002",,Patna (पटना),,,800002,India,0612-2253392,,,,,https://adityavision.in/store-network/,,,,,,,,,
,TV,Consumer Electronics,,ADITYA VISION,KHAJPURA,"KHAJPURA,OPPOSITE SHIV MANDIR, BAILEY ROAD, PATNA 800014",,Patna (पटना),,,800014,India,7061380834,,,,,https://adityavision.in/store-network/,,,,,,,,,
,TV,Consumer Electronics,,ADITYA VISION,KULHARIA COMPLEX,"KULHARIA COMPLEX, ASHOK RAJPATH, PATNA  800004",,Patna (पटना),,,800004,India,0612-2677790,,,,,https://adityavision.in/store-network/,,,,,,,,,
,TV,Consumer Electronics,,ADITYA VISION,SHANTI KUNJ,"SHANTI KUNJ, WEST BORING CANAL RD., P.S- S.K PURI, PATNA 800001",,Patna (पटना),,,800001,India,7061380845,,,,,https://adityavision.in/store-network/,,,,,,,,,
,TV,Consumer Electronics,,ADITYA VISION,JAKARIYAPUR,"JAKARIYAPUR, ZERO MILE, BYPASS 800007",,Patna (पटना),,,800007,India,7061380844,,,,,https://adityavision.in/store-network/,,,,,,,,,
,TV,Consumer Electronics,,ADITYA VISION,Gurhatta Main Road,"Gurhatta Main Road,Patna City 800008",,Patna (पटना),,,800008,India,0612-2641979,,,,,https://adityavision.in/store-network/,,,,,,,,,
,TV,Consumer Electronics,,ADITYA VISION,OPPOSITE PLANETARIUM,"OPPOSITE PLANETARIUM, BAILEY ROAD, PATNA 800001",,Patna (पटना),,,800001,India,0612-2232726,,,,,https://adityavision.in/store-network/,,,,,,,,,
,TV,Consumer Electronics,,ADITYA VISION,Samsung Digital Plaza ,"Samsung Digital Plaza ,Near Siv Mandir , Raja Bazar 800008",,Patna (पटना),,,800008,India,0612-2599885,,,,,https://adityavision.in/store-network/,,,,,,,,,
,TV,Consumer Electronics,,ADITYA VISION,Sony Center ,"Sony Center ,P.C.Colony Kankarbagh Patna 800020",,Patna (पटना),,,800020,India,0612-2359988,,,,,https://adityavision.in/store-network/,,,,,,,,,
,TV,Consumer Electronics,,ADITYA VISION,LG Best Shop ,"LG Best Shop ,Near Ashiyana Mor , Raja Bazar 800008",,Patna (पटना),,,800008,India,0612-2295663,,,,,https://adityavision.in/store-network/,,,,,,,,,
,TV,Consumer Electronics,,ADITYA VISION,SagunaMore,"SagunaMore,Near IBP Petrol Pump ,Danapur ,Patna 801503",,Patna (पटना),,,801503,India,9264455253,,,,,https://adityavision.in/store-network/,,,,,,,,,
,TV,Consumer Electronics,,ADITYA VISION,ANISABAD BYPASS CHOURAHA,"ANISABAD BYPASS CHOURAHA, MAIN ROAD, PATNA 800002",,Patna (पटना),,,800002,India,9264455114,,,,,https://adityavision.in/store-network/,,,,,,,,,
,TV,Consumer Electronics,,ADITYA VISION,OPPOSITE PLANETARIUM,"OPPOSITE PLANETARIUM, BAILEY ROAD, PATNA  800001",,Patna (पटना),,,800001,India,0612-2205984,,,,,https://adityavision.in/store-network/,,,,,,,,,
,TV,Consumer Electronics,,ADITYA VISION,YUVRAJ PLACE,"YUVRAJ PLACE,NEAR GAYATRI MANDIR MORE, KANKARBAGH, PATNA 800020",,Patna (पटना),,,800020,India,0612-2357714,,,,,https://adityavision.in/store-network/,,,,,,,,,
,TV,Consumer Electronics,,ADITYA VISION,ANISABAD BYPASS CHOURAHA,"ANISABAD BYPASS CHOURAHA, MAIN ROAD, PATNA  800002",,Patna (पटना),,,800002,India,0612-2253392,,,,,https://adityavision.in/store-network/,,,,,,,,,
,TV,Consumer Electronics,,ADITYA VISION,KHAJPURA,"KHAJPURA,OPPOSITE SHIV MANDIR, BAILEY ROAD, PATNA 800014",,Patna (पटना),,,800014,India,7061380834,,,,,https://adityavision.in/store-network/,,,,,,,,,
,TV,Consumer Electronics,,ADITYA VISION,KULHARIA COMPLEX,"KULHARIA COMPLEX, ASHOK RAJPATH, PATNA  800004",,Patna (पटना),,,800004,India,0612-2677790,,,,,https://adityavision.in/store-network/,,,,,,,,,
,TV,Consumer Electronics,,ADITYA VISION,SHANTI KUNJ,"SHANTI KUNJ, WEST BORING CANAL RD., P.S- S.K PURI, PATNA 800001",,Patna (पटना),,,800001,India,7061380845,,,,,https://adityavision.in/store-network/,,,,,,,,,
,TV,Consumer Electronics,,ADITYA VISION,JAKARIYAPUR,"JAKARIYAPUR, ZERO MILE, BYPASS 800007",,Patna (पटना),,,800007,India,7061380844,,,,,https://adityavision.in/store-network/,,,,,,,,,
,TV,Consumer Electronics,,ADITYA VISION,Gurhatta Main Road,"Gurhatta Main Road,Patna City 800008",,Patna (पटना),,,800008,India,0612-2641979,,,,,https://adityavision.in/store-network/,,,,,,,,,
,TV,Consumer Electronics,,ADITYA VISION,OPPOSITE PLANETARIUM,"OPPOSITE PLANETARIUM, BAILEY ROAD, PATNA 800001",,Patna (पटना),,,800001,India,0612-2232726,,,,,https://adityavision.in/store-network/,,,,,,,,,
,TV,Consumer Electronics,,ADITYA VISION,Samsung Digital Plaza ,"Samsung Digital Plaza ,Near Siv Mandir , Raja Bazar 800008",,Patna (पटना),,,800008,India,0612-2599885,,,,,https://adityavision.in/store-network/,,,,,,,,,
,TV,Consumer Electronics,,ADITYA VISION,Sony Center ,"Sony Center ,P.C.Colony Kankarbagh Patna 800020",,Patna (पटना),,,800020,India,0612-2359988,,,,,https://adityavision.in/store-network/,,,,,,,,,
,TV,Consumer Electronics,,ADITYA VISION,LG Best Shop ,"LG Best Shop ,Near Ashiyana Mor , Raja Bazar 800008",,Patna (पटना),,,800008,India,0612-2295663,,,,,https://adityavision.in/store-network/,,,,,,,,,
,TV,Consumer Electronics,,ADITYA VISION,SagunaMore,"SagunaMore,Near IBP Petrol Pump ,Danapur ,Patna 801503",,Patna (पटना),,,801503,India,9264455253,,,,,https://adityavision.in/store-network/,,,,,,,,,
,TV,Consumer Electronics,,ADITYA VISION,ANISABAD BYPASS CHOURAHA,"ANISABAD BYPASS CHOURAHA, MAIN ROAD, PATNA 800002",,Patna (पटना),,,800002,India,9264455114,,,,,https://adityavision.in/store-network/,,,,,,,,,
,TV,Consumer Electronics,,ADITYA VISION,OPPOSITE PLANETARIUM,"OPPOSITE PLANETARIUM, BAILEY ROAD, PATNA  800001",,Patna (पटना),,,800001,India,0612-2205984,,,,,https://adityavision.in/store-network/,,,,,,,,,
,TV,Consumer Electronics,,ADITYA VISION,YUVRAJ PLACE,"YUVRAJ PLACE,NEAR GAYATRI MANDIR MORE, KANKARBAGH, PATNA 800020",,Patna (पटना),,,800020,India,0612-2357714,,,,,https://adityavision.in/store-network/,,,,,,,,,
,TV,Consumer Electronics,,ADITYA VISION,ANISABAD BYPASS CHOURAHA,"ANISABAD BYPASS CHOURAHA, MAIN ROAD, PATNA  800002",,Patna (पटना),,,800002,India,0612-2253392,,,,,https://adityavision.in/store-network/,,,,,,,,,
,TV,Consumer Electronics,,ADITYA VISION,KHAJPURA,"KHAJPURA,OPPOSITE SHIV MANDIR, BAILEY ROAD, PATNA 800014",,Patna (पटना),,,800014,India,7061380834,,,,,https://adityavision.in/store-network/,,,,,,,,,
,TV,Consumer Electronics,,ADITYA VISION,KULHARIA COMPLEX,"KULHARIA COMPLEX, ASHOK RAJPATH, PATNA  800004",,Patna (पटना),,,800004,India,0612-2677790,,,,,https://adityavision.in/store-network/,,,,,,,,,
,TV,Consumer Electronics,,ADITYA VISION,SHANTI KUNJ,"SHANTI KUNJ, WEST BORING CANAL RD., P.S- S.K PURI, PATNA 800001",,Patna (पटना),,,800001,India,7061380845,,,,,https://adityavision.in/store-network/,,,,,,,,,
,TV,Consumer Electronics,,ADITYA VISION,JAKARIYAPUR,"JAKARIYAPUR, ZERO MILE, BYPASS 800007",,Patna (पटना),,,800007,India,7061380844,,,,,https://adityavision.in/store-network/,,,,,,,,,
,TV,Consumer Electronics,,ADITYA VISION,Gurhatta Main Road,"Gurhatta Main Road,Patna City 800008",,Patna (पटना),,,800008,India,0612-2641979,,,,,https://adityavision.in/store-network/,,,,,,,,,
,TV,Consumer Electronics,,ADITYA VISION,OPPOSITE PLANETARIUM,"OPPOSITE PLANETARIUM, BAILEY ROAD, PATNA 800001",,Patna (पटना),,,800001,India,0612-2232726,,,,,https://adityavision.in/store-network/,,,,,,,,,
,TV,Consumer Electronics,,ADITYA VISION,Samsung Digital Plaza ,"Samsung Digital Plaza ,Near Siv Mandir , Raja Bazar 800008",,Patna (पटना),,,800008,India,0612-2599885,,,,,https://adityavision.in/store-network/,,,,,,,,,
,TV,Consumer Electronics,,ADITYA VISION,Sony Center ,"Sony Center ,P.C.Colony Kankarbagh Patna 800020",,Patna (पटना),,,800020,India,0612-2359988,,,,,https://adityavision.in/store-network/,,,,,,,,,
,TV,Consumer Electronics,,ADITYA VISION,LG Best Shop ,"LG Best Shop ,Near Ashiyana Mor , Raja Bazar 800008",,Patna (पटना),,,800008,India,0612-2295663,,,,,https://adityavision.in/store-network/,,,,,,,,,
,TV,Consumer Electronics,,ADITYA VISION,SagunaMore,"SagunaMore,Near IBP Petrol Pump ,Danapur ,Patna 801503",,Patna (पटना),,,801503,India,9264455253,,,,,https://adityavision.in/store-network/,,,,,,,,,
,TV,Consumer Electronics,,ADITYA VISION,ANISABAD BYPASS CHOURAHA,"ANISABAD BYPASS CHOURAHA, MAIN ROAD, PATNA 800002",,Patna (पटना),,,800002,India,9264455114,,,,,https://adityavision.in/store-network/,,,,,,,,,
,TV,Consumer Electronics,,ADITYA VISION,OPPOSITE PLANETARIUM,"OPPOSITE PLANETARIUM, BAILEY ROAD, PATNA  800001",,Patna (पटना),,,800001,India,0612-2205984,,,,,https://adityavision.in/store-network/,,,,,,,,,
,TV,Consumer Electronics,,ADITYA VISION,YUVRAJ PLACE,"YUVRAJ PLACE,NEAR GAYATRI MANDIR MORE, KANKARBAGH, PATNA 800020",,Patna (पटना),,,800020,India,0612-2357714,,,,,https://adityavision.in/store-network/,,,,,,,,,
,TV,Consumer Electronics,,ADITYA VISION,ANISABAD BYPASS CHOURAHA,"ANISABAD BYPASS CHOURAHA, MAIN ROAD, PATNA  800002",,Patna (पटना),,,800002,India,0612-2253392,,,,,https://adityavision.in/store-network/,,,,,,,,,
,TV,Consumer Electronics,,ADITYA VISION,KHAJPURA,"KHAJPURA,OPPOSITE SHIV MANDIR, BAILEY ROAD, PATNA 800014",,Patna (पटना),,,800014,India,7061380834,,,,,https://adityavision.in/store-network/,,,,,,,,,
,TV,Consumer Electronics,,ADITYA VISION,KULHARIA COMPLEX,"KULHARIA COMPLEX, ASHOK RAJPATH, PATNA  800004",,Patna (पटना),,,800004,India,0612-2677790,,,,,https://adityavision.in/store-network/,,,,,,,,,
,TV,Consumer Electronics,,ADITYA VISION,SHANTI KUNJ,"SHANTI KUNJ, WEST BORING CANAL RD., P.S- S.K PURI, PATNA 800001",,Patna (पटना),,,800001,India,7061380845,,,,,https://adityavision.in/store-network/,,,,,,,,,
,TV,Consumer Electronics,,ADITYA VISION,JAKARIYAPUR,"JAKARIYAPUR, ZERO MILE, BYPASS 800007",,Patna (पटना),,,800007,India,7061380844,,,,,https://adityavision.in/store-network/,,,,,,,,,
,TV,Consumer Electronics,,ADITYA VISION,Gurhatta Main Road,"Gurhatta Main Road,Patna City 800008",,Patna (पटना),,,800008,India,0612-2641979,,,,,https://adityavision.in/store-network/,,,,,,,,,
,TV,Consumer Electronics,,ADITYA VISION,OPPOSITE PLANETARIUM,"OPPOSITE PLANETARIUM, BAILEY ROAD, PATNA 800001",,Patna (पटना),,,800001,India,0612-2232726,,,,,https://adityavision.in/store-network/,,,,,,,,,
,TV,Consumer Electronics,,ADITYA VISION,Samsung Digital Plaza ,"Samsung Digital Plaza ,Near Siv Mandir , Raja Bazar 800008",,Patna (पटना),,,800008,India,0612-2599885,,,,,https://adityavision.in/store-network/,,,,,,,,,
,TV,Consumer Electronics,,ADITYA VISION,Sony Center ,"Sony Center ,P.C.Colony Kankarbagh Patna 800020",,Patna (पटना),,,800020,India,0612-2359988,,,,,https://adityavision.in/store-network/,,,,,,,,,
,TV,Consumer Electronics,,ADITYA VISION,LG Best Shop ,"LG Best Shop ,Near Ashiyana Mor , Raja Bazar 800008",,Patna (पटना),,,800008,India,0612-2295663,,,,,https://adityavision.in/store-network/,,,,,,,,,
,TV,Consumer Electronics,,ADITYA VISION,SagunaMore,"SagunaMore,Near IBP Petrol Pump ,Danapur ,Patna 801503",,Patna (पटना),,,801503,India,9264455253,,,,,https://adityavision.in/store-network/,,,,,,,,,
